"Column Name","Label"
"S1702_C01_009E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C01_009EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C01_009M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C01_009MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C01_010E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C01_010EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C01_010M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C01_010MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C01_011E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C01_011M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C01_011MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C01_011EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C01_012E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C01_012M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C01_012MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C01_012EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C01_013E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C01_013EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C01_013M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C01_013MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C01_014E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C01_014EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C01_014M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C01_014MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C01_015E","Estimate!!All families!!Total!!Families!!Householder worked"
"S1702_C01_015M","Margin of Error!!All families!!Total MOE!!Families!!Householder worked"
"S1702_C01_015MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!Householder worked"
"S1702_C01_015EA","Annotation of Estimate!!All families!!Total!!Families!!Householder worked"
"S1702_C01_016E","Estimate!!All families!!Total!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C01_016EA","Annotation of Estimate!!All families!!Total!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C01_016M","Margin of Error!!All families!!Total MOE!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C01_016MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C01_017E","Estimate!!All families!!Total!!Families!!Householder 65 years and over"
"S1702_C01_017M","Margin of Error!!All families!!Total MOE!!Families!!Householder 65 years and over"
"S1702_C01_017MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!Householder 65 years and over"
"S1702_C01_017EA","Annotation of Estimate!!All families!!Total!!Families!!Householder 65 years and over"
"S1702_C01_018E","Estimate!!All families!!Total!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C01_018EA","Annotation of Estimate!!All families!!Total!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C01_018M","Margin of Error!!All families!!Total MOE!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C01_018MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C01_019E","Estimate!!All families!!Total!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C01_019EA","Annotation of Estimate!!All families!!Total!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C01_019M","Margin of Error!!All families!!Total MOE!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C01_019MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C01_020E","Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C01_020EA","Annotation of Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C01_020M","Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C01_020MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C01_021E","Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C01_021EA","Annotation of Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C01_021M","Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C01_021MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C01_022E","Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C01_022EA","Annotation of Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C01_022M","Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C01_022MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C01_023E","Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C01_023EA","Annotation of Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C01_023M","Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C01_023MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C01_024E","Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C01_024M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C01_024MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C01_024EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C01_025E","Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C01_025EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C01_025M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C01_025MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C01_026E","Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C01_026M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C01_026MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C01_026EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C01_027E","Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C01_027M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C01_027MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C01_027EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C01_028E","Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C01_028EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C01_028M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C01_028MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C01_029E","Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C01_029EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C01_029M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C01_029MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C01_030E","Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C01_030M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C01_030MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C01_030EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C01_031E","Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder"
"S1702_C01_031EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder"
"S1702_C01_031M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder"
"S1702_C01_031MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder"
"S1702_C01_032E","Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people"
"S1702_C01_032EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people"
"S1702_C01_032M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people"
"S1702_C01_032MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people"
"S1702_C01_033E","Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people"
"S1702_C01_033EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people"
"S1702_C01_033M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people"
"S1702_C01_033MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people"
"S1702_C01_034E","Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people"
"S1702_C01_034EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people"
"S1702_C01_034M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people"
"S1702_C01_034MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people"
"S1702_C01_035E","Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people"
"S1702_C01_035EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people"
"S1702_C01_035M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people"
"S1702_C01_035MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people"
"S1702_C01_036E","Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers"
"S1702_C01_036EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers"
"S1702_C01_036M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers"
"S1702_C01_036MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers"
"S1702_C01_037E","Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker"
"S1702_C01_037M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker"
"S1702_C01_037MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker"
"S1702_C01_037EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker"
"S1702_C01_038E","Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers"
"S1702_C01_038M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers"
"S1702_C01_038MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers"
"S1702_C01_038EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers"
"S1702_C01_039E","Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers"
"S1702_C01_039M","Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers"
"S1702_C01_039MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers"
"S1702_C01_039EA","Annotation of Estimate!!All families!!Total!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers"
"S1702_C01_040E","Estimate!!All families!!Total!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)"
"S1702_C01_040EA","Annotation of Estimate!!All families!!Total!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)"
"S1702_C01_040M","Margin of Error!!All families!!Total MOE!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)"
"S1702_C01_040MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)"
"S1702_C01_041E","Estimate!!All families!!Total!!Families!!TENURE!!Owner occupied"
"S1702_C01_041EA","Annotation of Estimate!!All families!!Total!!Families!!TENURE!!Owner occupied"
"S1702_C01_041M","Margin of Error!!All families!!Total MOE!!Families!!TENURE!!Owner occupied"
"S1702_C01_041MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!TENURE!!Owner occupied"
"S1702_C01_042E","Estimate!!All families!!Total!!Families!!TENURE!!Renter Occupied"
"S1702_C01_042EA","Annotation of Estimate!!All families!!Total!!Families!!TENURE!!Renter Occupied"
"S1702_C01_042M","Margin of Error!!All families!!Total MOE!!Families!!TENURE!!Renter Occupied"
"S1702_C01_042MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!TENURE!!Renter Occupied"
"S1702_C01_043E","Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1702_C01_043EA","Annotation of Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1702_C01_043M","Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1702_C01_043MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1702_C01_044E","Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1702_C01_044EA","Annotation of Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1702_C01_044M","Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1702_C01_044MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1702_C01_045E","Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1702_C01_045EA","Annotation of Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1702_C01_045M","Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1702_C01_045MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1702_C01_046E","Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1702_C01_046EA","Annotation of Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1702_C01_046M","Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1702_C01_046MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1702_C01_047E","Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1702_C01_047EA","Annotation of Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1702_C01_047M","Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1702_C01_047MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1702_C01_048E","Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1702_C01_048EA","Annotation of Estimate!!All families!!Total!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1702_C01_048M","Margin of Error!!All families!!Total MOE!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
